transaction_date,disclosure_date,ticker,asset_description,type,amount,senator,party,state,industry,sector
08/06/2020,09/01/2020,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Finance Companies,Finance
08/06/2020,09/01/2020,LUBFX,Lord Abbett Ultra Short Bond Fund Class F,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
08/06/2020,09/01/2020,GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
08/27/2020,08/30/2020,AAPL,Apple Inc.,sale_full,"$50,001 - $100,000",Pat Roberts,Republican,KS,Computer Manufacturing,Technology
08/05/2020,08/30/2020,BA,The Boeing Company,purchase,"$15,001 - $50,000",Pat Roberts,Republican,KS,Aerospace,Capital Goods
08/19/2020,08/30/2020,WMT,Walmart Inc.,purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Department/Specialty Retail Stores,Consumer Services
08/18/2020,08/30/2020,GOLD,Barrick Gold Corporation,purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Precious Metals,Basic Industries
08/18/2020,08/30/2020,BBY,"Best Buy Co., Inc.",purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Consumer Electronics/Video Chains,Consumer Services
08/18/2020,08/30/2020,GLD,SPDR Gold Shares,purchase,"$15,001 - $50,000",Pat Roberts,Republican,KS,,
08/17/2020,08/30/2020,NVAX,"Novavax, Inc.",purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
08/27/2020,08/30/2020,AAPL,Apple Inc.,sale_full,"$50,001 - $100,000",Pat Roberts,Republican,KS,Computer Manufacturing,Technology
08/03/2020,08/30/2020,TSLA,"Tesla, Inc.",purchase,"$50,001 - $100,000",Pat Roberts,Republican,KS,Auto Manufacturing,Capital Goods
08/03/2020,08/30/2020,AAPL,Apple Inc.,purchase,"$50,001 - $100,000",Pat Roberts,Republican,KS,Computer Manufacturing,Technology
07/31/2020,08/30/2020,AAPL,Apple Inc.,sale_full,"$50,001 - $100,000",Pat Roberts,Republican,KS,Computer Manufacturing,Technology
08/20/2020,08/29/2020,NFLX,"Netflix, Inc.",purchase,"$1,001 - $15,000",Ron Wyden,Democrat,OR,Consumer Electronics/Video Chains,Consumer Services
08/20/2020,08/29/2020,NFLX,"Netflix, Inc.",purchase,"$1,001 - $15,000",Ron Wyden,Democrat,OR,Consumer Electronics/Video Chains,Consumer Services
08/20/2020,08/29/2020,NFLX,"Netflix, Inc.",purchase,"$1,001 - $15,000",Ron Wyden,Democrat,OR,Consumer Electronics/Video Chains,Consumer Services
08/21/2020,08/29/2020,NVDA,NVIDIA Corporation,purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Semiconductors,Technology
08/21/2020,08/29/2020,UPS,"United Parcel Service, Inc.",purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Trucking Freight/Courier Services,Transportation
08/21/2020,08/29/2020,FDX,FedEx Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Air Freight/Delivery Services,Transportation
08/21/2020,08/29/2020,SQ,"Square, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Computer Software: Prepackaged Software,Technology
08/21/2020,08/29/2020,T,AT&amp;T Inc.,sale_full,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Telecommunications Equipment,Public Utilities
08/21/2020,08/29/2020,XOM,Exxon Mobil Corporation,sale_full,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Integrated oil Companies,Energy
08/19/2020,08/29/2020,UPS,"United Parcel Service, Inc.",purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Trucking Freight/Courier Services,Transportation
08/19/2020,08/29/2020,NVDA,NVIDIA Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Semiconductors,Technology
08/19/2020,08/29/2020,KR,The Kroger Co.,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Food Chains,Consumer Services
08/19/2020,08/29/2020,FDX,FedEx Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Air Freight/Delivery Services,Transportation
08/18/2020,08/29/2020,LOW,"Lowe's Companies, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,RETAIL: Building Materials,Consumer Services
08/18/2020,08/29/2020,DHI,"D.R. Horton, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,,
08/17/2020,08/29/2020,UPS,"United Parcel Service, Inc.",purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Trucking Freight/Courier Services,Transportation
08/14/2020,08/29/2020,UPS,"United Parcel Service, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Trucking Freight/Courier Services,Transportation
08/14/2020,08/29/2020,PSA,Public Storage,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Real Estate Investment Trusts,Consumer Services
08/14/2020,08/29/2020,FDX,FedEx Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Air Freight/Delivery Services,Transportation
08/11/2020,08/29/2020,F,Ford Motor Company,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Auto Manufacturing,Capital Goods
08/11/2020,08/29/2020,DHI,"D.R. Horton, Inc.",purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,,
08/07/2020,08/29/2020,AAPL,Apple Inc.,purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Computer Manufacturing,Technology
08/05/2020,08/29/2020,WDAY,"Workday, Inc.",purchase,"$1,001 - $15,000",Ron Wyden,Democrat,OR,EDP Services,Technology
08/05/2020,08/29/2020,PSA,Public Storage,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Real Estate Investment Trusts,Consumer Services
08/05/2020,08/29/2020,KR,The Kroger Co.,purchase,"$1,001 - $15,000",Ron Wyden,Democrat,OR,Food Chains,Consumer Services
08/05/2020,08/29/2020,DHI,"D.R. Horton, Inc.",purchase,"$1,001 - $15,000",Ron Wyden,Democrat,OR,,
08/05/2020,08/29/2020,COUP,Coupa Software Incorporated,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Computer Software: Prepackaged Software,Technology
08/05/2020,08/29/2020,CLX,The Clorox Company,purchase,"$1,001 - $15,000",Ron Wyden,Democrat,OR,Specialty Chemicals,Consumer Durables
08/05/2020,08/29/2020,BYND,"Beyond Meat, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Packaged Foods,Consumer Non-Durables
08/04/2020,08/29/2020,PSA,Public Storage,purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Real Estate Investment Trusts,Consumer Services
08/04/2020,08/29/2020,MTCH,"Match Group, Inc.",purchase,"$1,001 - $15,000",Ron Wyden,Democrat,OR,"Computer Software: Programming, Data Processing",Technology
08/04/2020,08/29/2020,KR,The Kroger Co.,purchase,"$1,001 - $15,000",Ron Wyden,Democrat,OR,Food Chains,Consumer Services
08/04/2020,08/29/2020,KLAC,KLA Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Electronic Components,Capital Goods
08/04/2020,08/29/2020,DIS,The Walt Disney Company,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Services-Misc. Amusement & Recreation,Consumer Services
08/03/2020,08/29/2020,MAR,"Marriott International, Inc.",sale_full,"$100,001 - $250,000",Ron Wyden,Democrat,OR,Hotels/Resorts,Consumer Services
08/03/2020,08/29/2020,VAC,Marriott Vacations Worldwide Corporation,sale_full,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Real Estate,Finance
08/03/2020,08/29/2020,INTC,Intel Corporation,sale_full,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Semiconductors,Technology
07/31/2020,08/29/2020,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Computer Software: Prepackaged Software,Technology
07/30/2020,08/29/2020,OSK,Oshkosh Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Auto Manufacturing,Consumer Discretionary
07/30/2020,08/29/2020,NVDA,NVIDIA Corporation,purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Semiconductors,Technology
07/30/2020,08/29/2020,BYND,"Beyond Meat, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Packaged Foods,Consumer Non-Durables
08/21/2020,08/21/2020,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,John Boozman,,,,
07/22/2020,08/21/2020,ICE,"Intercontinental Exchange, Inc.",sale_partial,"$5,000,001 - $25,000,000",Kelly Loeffler,Republican,GA,Investment Bankers/Brokers/Service,Finance
08/18/2020,08/18/2020,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Christopher A. Coons,,,,
12/05/2019,08/13/2020,LGI,"LOR Lazard World Dividend and Income Fund (Exchanged) <br> Lazard Global Total Return and Income Fund, Inc. (Received)",Exchange,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/27/2019,08/13/2020,WW,"WW International, Inc.",purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Other Consumer Services,Consumer Services
05/16/2019,08/13/2020,GE,General Electric Company,sale_full,"$1,001 - $15,000",Tim Kaine,Democrat,VA,Consumer Electronics/Appliances,Energy
08/13/2020,08/13/2020,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Rick Scott,,,,
08/13/2020,08/13/2020,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Patrick J. Toomey,,,,
07/15/2020,08/12/2020,TROW,"T. Rowe Price Group, Inc.",sale_full,"$1,001 - $15,000",Bill Cassidy,Republican,LA,Investment Bankers/Brokers/Service,Finance
07/15/2020,08/12/2020,PLD,"Prologis, Inc.",purchase,"$1,001 - $15,000",Bill Cassidy,Republican,LA,Real Estate Investment Trusts,Consumer Services
08/11/2020,08/11/2020,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,John Boozman,,,,
08/10/2020,08/10/2020,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Jeanne Shaheen,,,,
07/05/2019,08/07/2020,IBM,International Business Machines Corporation,sale_full,"$1,001 - $15,000",Sheldon Whitehouse,Democrat,RI,Computer Manufacturing,Technology
07/05/2019,08/07/2020,IBM,International Business Machines Corporation,sale_full,"$1,001 - $15,000",Sheldon Whitehouse,Democrat,RI,Computer Manufacturing,Technology
08/06/2020,08/06/2020,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Ron Johnson,,,,
07/20/2020,08/06/2020,NKLA,Nikola Corporation,sale_partial,"$1,001 - $15,000",Patrick J. Toomey,Republican,PA,Industrial Machinery/Components,Industrials
07/09/2020,08/06/2020,NKLA,Nikola Corporation,purchase,"$1,001 - $15,000",Patrick J. Toomey,Republican,PA,Industrial Machinery/Components,Industrials
07/07/2020,08/06/2020,TSLA,"Tesla, Inc.",sale_full,"$1,001 - $15,000",Patrick J. Toomey,Republican,PA,Auto Manufacturing,Capital Goods
07/07/2020,08/06/2020,TSLA,"Tesla, Inc.",purchase,"$1,001 - $15,000",Patrick J. Toomey,Republican,PA,Auto Manufacturing,Capital Goods
07/06/2020,08/05/2020,TGT,Target Corporation,sale_full,"$1,001 - $15,000",Pat Roberts,Republican,KS,Department/Specialty Retail Stores,Consumer Services
07/31/2020,08/05/2020,AAL,American Airlines Group Inc.,sale_full,"$15,001 - $50,000",Pat Roberts,Republican,KS,Air Freight/Delivery Services,Transportation
07/02/2020,08/05/2020,NOC,Northrop Grumman Corporation,purchase,"$15,001 - $50,000",Pat Roberts,Republican,KS,Industrial Machinery/Components,Capital Goods
07/02/2020,08/05/2020,AAL,American Airlines Group Inc.,sale_full,"$1,001 - $15,000",Pat Roberts,Republican,KS,Air Freight/Delivery Services,Transportation
07/02/2020,08/05/2020,BA,The Boeing Company,purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Aerospace,Capital Goods
07/02/2020,08/05/2020,MA,Mastercard Incorporated,sale_full,"$50,001 - $100,000",Pat Roberts,Republican,KS,Business Services,Miscellaneous
07/27/2020,08/05/2020,BA,The Boeing Company,purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Aerospace,Capital Goods
07/15/2020,08/05/2020,NFLX,"Netflix, Inc.",purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Consumer Electronics/Video Chains,Consumer Services
07/13/2020,08/05/2020,NFLX,"Netflix, Inc.",purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Consumer Electronics/Video Chains,Consumer Services
07/07/2020,08/05/2020,AAL,American Airlines Group Inc.,sale_full,"$1,001 - $15,000",Pat Roberts,Republican,KS,Air Freight/Delivery Services,Transportation
07/02/2020,08/05/2020,BABA,Alibaba Group Holding Limited,sale_full,"$15,001 - $50,000",Pat Roberts,Republican,KS,Business Services,Miscellaneous
07/02/2020,08/05/2020,WMT,Walmart Inc.,sale_full,"$1,001 - $15,000",Pat Roberts,Republican,KS,Department/Specialty Retail Stores,Consumer Services
07/02/2020,08/05/2020,SPOT,Spotify Technology S.A.,purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Broadcasting,Consumer Services
07/01/2020,08/05/2020,BYND,"Beyond Meat, Inc.",purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Packaged Foods,Consumer Non-Durables
07/28/2020,08/04/2020,SIL,Global X Silver Miners ETF,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,C,Citigroup Inc.,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Major Banks,Finance
07/09/2020,08/04/2020,QCOM,QUALCOMM Incorporated,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Radio And Television Broadcasting And Communications Equipment,Technology
07/09/2020,08/04/2020,RMD,ResMed Inc.,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Medical/Dental Instruments,Health Care
07/09/2020,08/04/2020,OHI,"Omega Healthcare Investors, Inc.",sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Real Estate Investment Trusts,Consumer Services
07/09/2020,08/04/2020,ARCC,Ares Capital Corporation,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Finance/Investors Services,Finance
07/09/2020,08/04/2020,LMT,Lockheed Martin Corporation,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Military/Government/Technical,Capital Goods
07/09/2020,08/04/2020,WIW,Western Asset Inflation-Linked Opportunities &amp; Inc,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Finance Companies,Finance
07/09/2020,08/04/2020,FXI,iShares Trust - iShares China Large-Cap ETF,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,NVDA,NVIDIA Corporation,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Semiconductors,Technology
07/09/2020,08/04/2020,AXS,AXIS Capital Holdings Limited,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Property-Casualty Insurers,Finance
07/09/2020,08/04/2020,MPW,"Medical Properties Trust, Inc.",sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Real Estate Investment Trusts,Consumer Services
07/09/2020,08/04/2020,GLAD,Gladstone Capital Corporation,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Finance/Investors Services,Finance
07/09/2020,08/04/2020,MANT,ManTech International Corporation,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,SWKS,"Skyworks Solutions, Inc.",sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Semiconductors,Technology
07/09/2020,08/04/2020,HASI,Hannon Armstrong Sustainable Infrastructure Capita,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Real Estate Investment Trusts,Consumer Services
07/09/2020,08/04/2020,SRVR,Pacer Benchmark Data &amp; Infrastructure Real Estate,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,MBXIX,Catalyst/Millburn Hedge Strategy Fund Class I,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,ABBV,AbbVie Inc.,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Major Pharmaceuticals,Health Care
07/09/2020,08/04/2020,FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fu,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,RTH,VanEck Vectors Retail ETF,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,PTLC,Pacer Trendpilot US Large Cap ETF,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,PTMC,Pacer Trendpilot US Mid Cap ETF,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,LMRK,Landmark Infrastructure Partners LP,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,AY,Atlantica Sustainable Infrastructure plc,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Electric Utilities: Central,Public Utilities
07/09/2020,08/04/2020,GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/09/2020,08/04/2020,IRM,Iron Mountain Incorporated,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Real Estate Investment Trusts,Consumer Services
07/09/2020,08/04/2020,LHX,"L3Harris Technologies, Inc.",purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Industrial Machinery/Components,Capital Goods
07/09/2020,08/04/2020,APO,"Apollo Global Management, Inc.",sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Investment Managers,Finance
07/09/2020,08/04/2020,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Computer Manufacturing,Technology
07/09/2020,08/04/2020,PFE,Pfizer Inc.,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Major Pharmaceuticals,Health Care
07/09/2020,08/04/2020,TSN,"Tyson Foods, Inc.",sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Meat/Poultry/Fish,Consumer Non-Durables
07/08/2020,08/04/2020,TCEHY,Tencent Holdings Limited,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,WIW,Western Asset Inflation-Linked Opportunities &amp; Inc,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Finance Companies,Finance
07/07/2020,08/04/2020,FXI,iShares Trust - iShares China Large-Cap ETF,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,MBXIX,Catalyst/Millburn Hedge Strategy Fund Class I,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,DLS,WisdomTree International SmallCap Dividend Fund,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,FDN,First Trust Dow Jones Internet Index Fund,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fu,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,GDXJ,VanEck Vectors Junior Gold Miners ETF,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,RTH,VanEck Vectors Retail ETF,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,LUBFX,Lord Abbett Ultra Short Bond Fund Class F,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,SIL,Global X Silver Miners ETF,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,NXTG,First Trust IndXX NextG ETF,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,FIMKX,Fidelity Advisor Emerging Markets Fund I Class,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/07/2020,08/04/2020,FCPIX,Fidelity Advisor International Capital Appreciatio,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
07/02/2020,07/31/2020,STX,Seagate Technology plc,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Electronic Components,Technology
07/02/2020,07/31/2020,AMZN,"Amazon.com, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Catalog/Specialty Distribution,Consumer Services
07/06/2020,07/31/2020,STX,Seagate Technology plc,purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Electronic Components,Technology
07/06/2020,07/31/2020,AMZN,"Amazon.com, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Catalog/Specialty Distribution,Consumer Services
07/06/2020,07/31/2020,AAPL,Apple Inc.,purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Computer Manufacturing,Technology
07/06/2020,07/31/2020,KLAC,KLA Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Electronic Components,Capital Goods
07/06/2020,07/31/2020,MSFT,Microsoft Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Computer Software: Prepackaged Software,Technology
07/06/2020,07/31/2020,NVDA,NVIDIA Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Semiconductors,Technology
07/07/2020,07/31/2020,TRIP,"TripAdvisor, Inc.",sale_full,"$50,001 - $100,000",Ron Wyden,Democrat,OR,"Computer Software: Programming, Data Processing",Technology
07/13/2020,07/31/2020,AAPL,Apple Inc.,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Computer Manufacturing,Technology
07/13/2020,07/31/2020,CAT,Caterpillar Inc.,sale_full,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Construction/Ag Equipment/Trucks,Capital Goods
07/13/2020,07/31/2020,COST,Costco Wholesale Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Department/Specialty Retail Stores,Consumer Services
07/13/2020,07/31/2020,F,Ford Motor Company,purchase,"$1,001 - $15,000",Ron Wyden,Democrat,OR,Auto Manufacturing,Capital Goods
07/13/2020,07/31/2020,OSK,Oshkosh Corporation,purchase,"$50,001 - $100,000",Ron Wyden,Democrat,OR,Auto Manufacturing,Consumer Discretionary
07/15/2020,07/31/2020,AAPL,Apple Inc.,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Computer Manufacturing,Technology
07/20/2020,07/31/2020,AAPL,Apple Inc.,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Computer Manufacturing,Technology
07/20/2020,07/31/2020,OSK,Oshkosh Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Auto Manufacturing,Consumer Discretionary
07/23/2020,07/31/2020,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Ron Wyden,Democrat,OR,Computer Software: Prepackaged Software,Technology
07/27/2020,07/31/2020,GOOG,Alphabet Inc.,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,"Computer Software: Programming, Data Processing",Technology
07/27/2020,07/31/2020,FB,"Facebook, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,"Computer Software: Programming, Data Processing",Technology
07/27/2020,07/31/2020,IRBT,iRobot Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,,
07/27/2020,07/31/2020,NVDA,NVIDIA Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Semiconductors,Technology
07/28/2020,07/31/2020,DHI,"D.R. Horton, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,,
07/15/2020,07/24/2020,AAPL,Apple Inc.,sale_partial,"$15,001 - $50,000",James M. Inhofe,Republican,OK,Computer Manufacturing,Technology
07/15/2020,07/24/2020,AMZN,"Amazon.com, Inc.",sale_partial,"$15,001 - $50,000",James M. Inhofe,Republican,OK,Catalog/Specialty Distribution,Consumer Services
06/29/2020,07/24/2020,BAM,Brookfield Asset Management Inc.,sale_partial,"$1,001 - $15,000",James M. Inhofe,Republican,OK,Building operators,Consumer Services
06/25/2020,07/14/2020,WFC,Wells Fargo &amp; Company,purchase,"$15,001 - $50,000",Shelley Moore Capito,Republican,WV,Major Banks,Finance
06/16/2020,07/14/2020,RPM,RPM International Inc.,sale_partial,"$50,001 - $100,000",Dan Sullivan,Republican,AK,Paints/Coatings,Basic Industries
07/13/2020,07/13/2020,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Rick Scott,,,,
06/26/2020,07/06/2020,AMZN,"Amazon.com, Inc.",purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Catalog/Specialty Distribution,Consumer Services
06/04/2020,07/06/2020,AAL,American Airlines Group Inc.,purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Air Freight/Delivery Services,Transportation
06/04/2020,07/06/2020,AAL,American Airlines Group Inc.,purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Air Freight/Delivery Services,Transportation
06/30/2020,07/06/2020,BA,The Boeing Company,purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Aerospace,Capital Goods
06/30/2020,07/06/2020,AAL,American Airlines Group Inc.,purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Air Freight/Delivery Services,Transportation
06/05/2020,07/06/2020,BA,The Boeing Company,purchase,"$1,001 - $15,000",Pat Roberts,Republican,KS,Aerospace,Capital Goods
06/30/2020,07/02/2020,AMZN,"Amazon.com, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Catalog/Specialty Distribution,Consumer Services
06/26/2020,07/02/2020,AAPL,Apple Inc.,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Computer Manufacturing,Technology
06/26/2020,07/02/2020,AMZN,"Amazon.com, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Catalog/Specialty Distribution,Consumer Services
06/26/2020,07/02/2020,MSFT,Microsoft Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Computer Software: Prepackaged Software,Technology
06/26/2020,07/02/2020,NFLX,"Netflix, Inc.",purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Consumer Electronics/Video Chains,Consumer Services
06/26/2020,07/02/2020,NVDA,NVIDIA Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Semiconductors,Technology
06/24/2020,07/02/2020,AAPL,Apple Inc.,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Computer Manufacturing,Technology
06/24/2020,07/02/2020,COST,Costco Wholesale Corporation,purchase,"$15,001 - $50,000",Ron Wyden,Democrat,OR,Department/Specialty Retail Stores,Consumer Services
