transaction_date,disclosure_date,ticker,asset_description,type,amount,senator,party,state,industry,sector
02/15/2023,03/01/2023,CDL,VictoryShares US Large Cap High Div Volatility Wtd,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,SPGP,Invesco S&amp;P 500 GARP ETF,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,GNR,SPDR S&amp;P Global Natural Resources ETF,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Finance Companies,Finance
02/15/2023,03/01/2023,QTEC,First Trust NASDAQ-100-Technology Sector Index Fun,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,FDN,First Trust DJ Internet Index Fund,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,RTH,VanEck Retail ETF,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,MOO,VanEck Agribusiness ETF,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,IGHG,ProShares Investment Grade-Interest Rate Hedged,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,FDRR,Fidelity Dividend ETF for Rising Rates,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,FQAL,Fidelity Quality Factor ETF,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/15/2023,03/01/2023,NXTG,First Trust Indxx NextG ETF,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
02/24/2023,02/24/2023,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Rick Scott,,,,
02/16/2023,02/16/2023,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Gary C. Peters,,,,
01/23/2023,02/14/2023,GOLD,Barrick Gold Corporation Common Stock (BC),purchase,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Precious Metals,Basic Industries
01/18/2023,02/14/2023,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $19.00 <br> <em>Expires:</em> 07/21/2023 </div>",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Precious Metals,Basic Industries
01/18/2023,02/14/2023,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $23.00 <br> <em>Expires:</em> 07/21/2023 </div>",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Precious Metals,Basic Industries
01/18/2023,02/14/2023,CLF,Cleveland-Cliffs Inc. Common Stock,purchase,"$100,001 - $250,000",Tommy Tuberville,Republican,AL,Precious Metals,Basic Industries
01/13/2023,02/14/2023,UAA,"Under Armour, Inc. Class A Common Stock",purchase,"$15,001 - $50,000",Tommy Tuberville,Republican,AL,Apparel,Consumer Non-Durables
01/12/2023,02/14/2023,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 06/16/2023 </div>",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Precious Metals,Basic Industries
01/11/2023,02/14/2023,V,"Visa Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $210.00 <br> <em>Expires:</em> 09/15/2023 </div>",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Business Services,Miscellaneous
01/11/2023,02/14/2023,KO,"Coca-Cola Company (The) Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $60.00 <br> <em>Expires:</em> 12/15/2023 </div>",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Beverages (Production/Distribution),Consumer Non-Durables
01/11/2023,02/14/2023,AAPL,"Apple Inc. - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $125.00 <br> <em>Expires:</em> 09/15/2023 </div>",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Computer Manufacturing,Technology
01/11/2023,02/14/2023,TXN,"Texas Instruments Incorporated - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $170.00 <br> <em>Expires:</em> 07/21/2023 </div>",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Semiconductors,Technology
01/05/2023,02/14/2023,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $18.00 <br> <em>Expires:</em> 04/21/2023 </div>",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Precious Metals,Basic Industries
01/05/2023,02/14/2023,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 07/21/2023 </div>",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Precious Metals,Basic Industries
01/05/2023,02/14/2023,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 07/21/2023 </div>",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Precious Metals,Basic Industries
01/05/2023,02/14/2023,X,"United States Steel Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $23.00 <br> <em>Expires:</em> 01/20/2023 </div>",purchase,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Steel/Iron Ore,Industrials
01/05/2023,02/14/2023,X,United States Steel Corporation Common Stock,sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Steel/Iron Ore,Industrials
01/05/2023,02/14/2023,X,United States Steel Corporation Common Stock,sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Steel/Iron Ore,Industrials
01/05/2023,02/14/2023,X,United States Steel Corporation Common Stock,sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Steel/Iron Ore,Industrials
01/05/2023,02/14/2023,X,United States Steel Corporation Common Stock,sale_partial,"$15,001 - $50,000",Tommy Tuberville,Republican,AL,Steel/Iron Ore,Industrials
01/05/2023,02/14/2023,X,United States Steel Corporation Common Stock,sale_partial,"$50,001 - $100,000",Tommy Tuberville,Republican,AL,Steel/Iron Ore,Industrials
01/05/2023,02/14/2023,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 06/16/2023 </div>",sale_partial,"$15,001 - $50,000",Tommy Tuberville,Republican,AL,Precious Metals,Basic Industries
01/10/2023,02/13/2023,ULTA,"Ulta Beauty, Inc. - Common Stock",sale_partial,"$1,001 - $15,000",Dan Sullivan,Republican,AK,,
01/10/2023,02/13/2023,PXD,Pioneer Natural Resources Company Common Stock,sale_partial,"$1,001 - $15,000",Dan Sullivan,Republican,AK,Oil & Gas Production,Energy
01/10/2023,02/13/2023,JPM,JP Morgan Chase &amp; Co. Common Stock,sale_partial,"$1,001 - $15,000",Dan Sullivan,Republican,AK,Major Banks,Finance
01/10/2023,02/13/2023,CVS,CVS Health Corporation Common Stock,sale_partial,"$1,001 - $15,000",Dan Sullivan,Republican,AK,Medical/Nursing Services,Health Care
01/10/2023,02/13/2023,BMY,Bristol-Myers Squibb Company Common Stock,sale_partial,"$1,001 - $15,000",Dan Sullivan,Republican,AK,Major Pharmaceuticals,Health Care
01/10/2023,02/13/2023,BKNG,Booking Holdings Inc. - Common Stock,sale_partial,"$1,001 - $15,000",Dan Sullivan,Republican,AK,Transportation Services,Consumer Services
01/10/2023,02/13/2023,ZTS,Zoetis Inc. Class A Common Stock,purchase,"$1,001 - $15,000",Dan Sullivan,Republican,AK,Major Pharmaceuticals,Health Care
01/10/2023,02/13/2023,AMZN,"Amazon.com, Inc. - Common Stock",purchase,"$1,001 - $15,000",Dan Sullivan,Republican,AK,Catalog/Specialty Distribution,Consumer Services
01/10/2023,02/13/2023,ALGN,"Align Technology, Inc. - Common Stock",purchase,"$1,001 - $15,000",Dan Sullivan,Republican,AK,Industrial Specialties,Health Care
02/10/2023,02/10/2023,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Christopher A. Coons,,,,
01/18/2023,02/02/2023,RIO,Rio Tinto Plc,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Precious Metals,Basic Industries
01/18/2023,02/02/2023,FPI,Farmland Partners Inc. Common Stock,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
01/12/2023,02/02/2023,AQN,Algonquin Power and Utilities Corp,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
01/04/2023,02/02/2023,MAXR,Maxar Technologies Inc,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
01/04/2023,02/02/2023,MGM,MGM Resorts International Common Stock,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Hotels/Resorts,Consumer Discretionary
01/11/2023,02/02/2023,AMT,American Tower Corporation (REIT) Common Stock,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Real Estate Investment Trusts,Consumer Services
01/11/2023,02/02/2023,SRVR,Pacer Benchmark Data &amp; Infrastructure Real Estate,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
